# M_center  P_simulated  P_Ising_theoretical
2.000000000000001776e-02 1.972161200494270128e-01 1.975646642724783186e-01
6.000000000000005329e-02 1.989687005153141786e-01 1.982502714102310215e-01
1.000000000000000888e-01 2.108418261264312366e-01 1.996252092182985438e-01
1.400000000000001243e-01 1.882178786550721683e-01 2.016968267049422114e-01
1.800000000000001599e-01 2.427046054818216558e-01 2.044758944466263939e-01
2.200000000000001954e-01 1.985863230287761572e-01 2.079762790483104806e-01
2.600000000000002309e-01 2.275777541211660981e-01 2.122144718401630381e-01
3.000000000000002665e-01 2.226414020894763590e-01 2.172089388561758427e-01
3.400000000000003020e-01 2.457959441472279960e-01 2.229792498280091240e-01
3.800000000000003375e-01 2.669221986230064236e-01 2.295449342590949460e-01
4.200000000000003730e-01 2.167385477294859752e-01 2.369240029714120843e-01
4.600000000000004086e-01 2.691961358414230454e-01 2.451310645039810887e-01
5.000000000000004441e-01 3.147276109348084439e-01 2.541749584803510431e-01
5.400000000000004796e-01 2.808841912658088802e-01 2.640558242141924916e-01
5.800000000000005151e-01 2.988195330180570264e-01 2.747615247766777569e-01
6.200000000000001066e-01 2.988221284291108781e-01 2.862633577794327921e-01
6.599999999999996980e-01 3.296569667596442876e-01 2.985110085110520561e-01
6.999999999999997335e-01 3.251658309241644007e-01 3.114267441182473339e-01
7.399999999999997691e-01 3.421683711330441025e-01 3.248989154464176354e-01
7.799999999999998046e-01 3.452399015278460603e-01 3.387749325830998193e-01
8.199999999999998401e-01 3.818726797846775378e-01 3.528540172253814000e-01
8.599999999999998757e-01 4.381096015795828968e-01 3.668802137912419159e-01
8.999999999999999112e-01 4.112878859338550686e-01 3.805363612930446338e-01
9.399999999999999467e-01 3.656879543601852522e-01 3.934399811022268323e-01
9.799999999999999822e-01 4.240249890644412489e-01 4.051423014709095716e-01
1.020000000000000018e+00 4.040030911825052140e-01 4.151318808978552433e-01
1.060000000000000053e+00 4.034016351671130263e-01 4.228444511821785601e-01
1.100000000000000089e+00 4.049267399114118149e-01 4.276805968774653466e-01
1.140000000000000124e+00 3.742157301274327552e-01 4.290326213592901006e-01
1.180000000000000160e+00 3.730384603243617758e-01 4.263213141470804102e-01
1.220000000000000195e+00 3.456819253622865351e-01 4.190422391539231350e-01
1.260000000000000231e+00 3.599656973907537361e-01 4.068195724112876333e-01
1.300000000000000266e+00 3.232944717408280932e-01 3.894634960352471031e-01
1.340000000000000302e+00 2.872040666751612403e-01 3.670249220061447271e-01
1.380000000000000338e+00 2.917017108297803030e-01 3.398392840511850199e-01
1.420000000000000373e+00 2.871898035487118750e-01 3.085498923819370853e-01
1.460000000000000409e+00 2.219211360959784107e-01 2.741015945571720902e-01
1.500000000000000444e+00 2.009472140225200820e-01 2.376978610082161048e-01
1.540000000000000480e+00 1.789769157751443796e-01 2.007192254465932635e-01
1.580000000000000515e+00 1.501486434821810712e-01 1.646079520935923024e-01
1.620000000000000107e+00 1.677152348460309583e-01 1.307317418208533144e-01
1.659999999999999698e+00 1.194422226272332244e-01 1.002462947900427392e-01
1.699999999999999734e+00 9.996613940146095723e-02 7.398026777671821985e-02
1.739999999999999769e+00 8.574245435052346709e-02 5.236458785573743641e-02
1.779999999999999805e+00 5.907667015412609163e-02 3.542047131298882434e-02
1.819999999999999840e+00 4.432390809444843732e-02 2.280809862824755702e-02
1.859999999999999876e+00 3.562448431311252689e-02 1.392398679879675548e-02
1.899999999999999911e+00 2.889395960027624222e-02 8.024051739349167753e-03
1.939999999999999947e+00 2.382429914666579079e-02 4.344952508838611886e-03
1.979999999999999982e+00 1.921232086247722307e-02 2.200029224786691912e-03
2.020000000000000018e+00 1.138888743239527788e-02 1.036324149917823307e-03
2.060000000000000053e+00 1.071964901305231394e-02 4.516835517147426630e-04
2.100000000000000089e+00 5.610701157096597939e-03 1.811187813001756213e-04
2.140000000000000124e+00 5.416044046810386363e-03 6.641540141567941699e-05
2.180000000000000160e+00 2.311162973761544340e-03 2.213080983796552348e-05
2.220000000000000195e+00 1.509022991774685869e-03 6.656601936682653675e-06
2.260000000000000231e+00 1.418704462491368569e-03 1.794690626371213281e-06
2.300000000000000266e+00 5.317782933417215764e-04 4.305359445619217036e-07
2.340000000000000302e+00 4.539569447820071199e-04 9.119141373989978506e-08
2.380000000000000338e+00 3.501183502618847201e-04 1.691610934035951273e-08
2.420000000000000373e+00 2.913048633146336227e-05 2.724935259099806099e-09
2.460000000000000409e+00 1.350818700618369793e-04 3.777917753925341575e-10
2.500000000000000444e+00 3.417252243981254325e-04 4.466212827137537762e-11
2.540000000000000480e+00 1.649073962023403029e-04 4.458406858064769020e-12
2.580000000000000515e+00 3.015476757184381993e-10 3.720000358036971753e-13
2.620000000000000551e+00 1.785463593639843247e-06 2.566845780237112911e-14
2.660000000000000142e+00 2.096911344562400501e-06 1.448489620930104148e-15
2.699999999999999734e+00 0.000000000000000000e+00 6.607599853062907183e-17
2.739999999999999769e+00 0.000000000000000000e+00 2.407249342063896021e-18
2.779999999999999805e+00 5.551115123125771658e-15 6.916074147700823005e-20
2.819999999999999840e+00 0.000000000000000000e+00 1.546468784951491790e-21
2.859999999999999876e+00 0.000000000000000000e+00 2.654668546513196713e-23
2.899999999999999911e+00 0.000000000000000000e+00 3.448800247997942314e-25
2.939999999999999947e+00 0.000000000000000000e+00 3.340910714821718554e-27
2.979999999999999982e+00 0.000000000000000000e+00 2.376260130614031696e-29
3.020000000000000018e+00 0.000000000000000000e+00 1.221193041392342128e-31
3.060000000000000053e+00 0.000000000000000000e+00 4.459575773365395904e-34
3.100000000000000089e+00 0.000000000000000000e+00 1.137367738981210213e-36
3.140000000000000124e+00 0.000000000000000000e+00 1.989756804009658490e-39
3.180000000000000160e+00 0.000000000000000000e+00 2.343643056464218405e-42
3.220000000000000195e+00 0.000000000000000000e+00 1.822953447439853371e-45
3.260000000000000231e+00 0.000000000000000000e+00 9.177929216496091831e-49
3.300000000000000266e+00 0.000000000000000000e+00 2.929380086676692934e-52
3.340000000000000302e+00 0.000000000000000000e+00 5.801259932767733301e-56
3.380000000000000338e+00 0.000000000000000000e+00 6.971194420457815754e-60
3.420000000000000373e+00 0.000000000000000000e+00 4.967228537218578787e-64
3.460000000000000409e+00 0.000000000000000000e+00 2.049179970606877309e-68
3.500000000000000444e+00 0.000000000000000000e+00 4.775150463591337206e-73
3.540000000000000480e+00 0.000000000000000000e+00 6.127084542642592999e-78
3.580000000000000515e+00 0.000000000000000000e+00 4.216265924831621409e-83
3.620000000000000551e+00 0.000000000000000000e+00 1.514178635545753817e-88
3.660000000000000142e+00 0.000000000000000000e+00 2.759184180177656493e-94
3.699999999999999734e+00 0.000000000000000000e+00 2.478114676118370693e-100
3.739999999999999769e+00 0.000000000000000000e+00 1.064575519655797566e-106
3.779999999999999805e+00 0.000000000000000000e+00 2.120845190092655006e-113
3.819999999999999840e+00 0.000000000000000000e+00 1.897836975676219355e-120
3.859999999999999876e+00 0.000000000000000000e+00 7.381325211136607199e-128
3.899999999999999911e+00 0.000000000000000000e+00 1.206152831293091367e-135
3.939999999999999947e+00 0.000000000000000000e+00 7.996129957917899951e-144
3.979999999999999982e+00 0.000000000000000000e+00 2.074552559725439939e-152
