epoch,step,seen_frames,total_loss,rho_loss,potential_loss,pc_loss,alpha_loss_mean,phi_loss_mean,rank_loss_mean,correlation_mean,spearman_correlation_mean,slope_mean,PC2_alpha_loss,PC2_phi_loss,PC2_rank_loss,PC2_correlation,PC2_spearman_correlation,PC2_slope
11,1474,40000,71.5830078125,0.001978892832994461,0.03657867759466171,71.54444885253906,0.7146093845367432,0.0835130587220192,0.0,0.9975025653839111,0.9979967474937439,32.00541305541992,0.7146093845367432,0.0835130587220192,0.0,0.9975025653839111,0.9979967474937439,32.00541305541992
12,1608,40000,70.84940338134766,0.0009575869189575315,0.020204678177833557,70.82823944091797,0.707619309425354,0.06630470603704453,0.0,0.9932481646537781,0.9963856935501099,31.776105880737305,0.707619309425354,0.06630470603704453,0.0,0.9932481646537781,0.9963856935501099,31.776105880737305
13,1742,40000,68.82437133789062,0.001036468194797635,0.017622243613004684,68.80570983886719,0.6860817670822144,0.19753456115722656,0.0,0.9819566607475281,0.9894134998321533,31.68768882751465,0.6860817670822144,0.19753456115722656,0.0,0.9819566607475281,0.9894134998321533,31.68768882751465
14,1876,40000,60.17933654785156,0.0009194946032948792,0.02727336809039116,60.15114212036133,0.5755864381790161,2.5924973487854004,0.0,0.9123090505599976,0.9595764875411987,30.30614471435547,0.5755864381790161,2.5924973487854004,0.0,0.9123090505599976,0.9595764875411987,30.30614471435547
15,2010,40000,49.89191818237305,0.001215868047438562,0.02826962247490883,49.86243438720703,0.459277868270874,3.934648036956787,0.0,0.7959252595901489,0.9500191807746887,29.948040008544922,0.459277868270874,3.934648036956787,0.0,0.7959252595901489,0.9500191807746887,29.948040008544922
16,2144,40000,55.53286361694336,0.001432317541912198,0.021773789077997208,55.50965881347656,0.4161657691001892,13.893083572387695,0.0,0.7301119565963745,0.9542489647865295,28.218242645263672,0.4161657691001892,13.893083572387695,0.0,0.7301119565963745,0.9542489647865295,28.218242645263672
17,2278,40000,121.44047546386719,0.0009330518078058958,0.015062171034514904,121.42447662353516,0.7132800221443176,50.096473693847656,0.0,0.9968810677528381,0.9975057244300842,38.88507843017578,0.7132800221443176,50.096473693847656,0.0,0.9968810677528381,0.9975057244300842,38.88507843017578
18,2412,40000,143.35459899902344,0.0006334697245620191,0.018481865525245667,143.33547973632812,0.7126748561859131,72.06798553466797,0.0,0.996634304523468,0.9972456693649292,40.301456451416016,0.7126748561859131,72.06798553466797,0.0,0.996634304523468,0.9972456693649292,40.301456451416016
19,2546,40000,50.13135528564453,0.0006696665077470243,0.027530847117304802,50.103153228759766,0.49619820713996887,0.48333504796028137,0.0,0.8075984716415405,0.9745099544525146,32.06428146362305,0.49619820713996887,0.48333504796028137,0.0,0.8075984716415405,0.9745099544525146,32.06428146362305
20,2680,40000,59.028221130371094,0.0008447857690043747,0.04079154133796692,58.9865837097168,0.5275171995162964,6.23486328125,0.0,0.8417112231254578,0.9765486717224121,34.29322052001953,0.5275171995162964,6.23486328125,0.0,0.8417112231254578,0.9765486717224121,34.29322052001953
21,2814,40000,55.30852127075195,0.000779157446231693,0.01652931235730648,55.29121398925781,0.5190933346748352,3.3818817138671875,0.0,0.8242470026016235,0.9823296070098877,33.61170196533203,0.5190933346748352,3.3818817138671875,0.0,0.8242470026016235,0.9823296070098877,33.61170196533203
22,2948,40000,76.00422668457031,0.0007683092844672501,0.10028662532567978,75.9031753540039,0.3904417157173157,36.859004974365234,0.0,0.6938830018043518,0.9514294862747192,25.847183227539062,0.3904417157173157,36.859004974365234,0.0,0.6938830018043518,0.9514294862747192,25.847183227539062
